iter	Passed	Remaining
0	7	1517
1	12	1252
2	15	1034
3	21	1036
4	25	995
5	28	918
6	31	859
7	36	868
8	40	857
9	43	832
10	47	811
11	51	805
12	56	813
13	59	794
14	62	771
15	65	749
16	69	753
17	72	737
18	77	742
19	80	726
20	85	727
21	88	713
22	92	713
23	95	701
24	99	697
25	102	686
26	106	680
27	109	672
28	112	660
29	115	657
30	118	647
31	122	645
32	125	636
33	128	628
34	132	623
35	135	615
36	139	613
37	142	606
38	144	598
39	149	596
40	151	589
41	156	588
42	159	580
43	163	578
44	165	571
45	170	571
46	173	565
47	176	558
48	181	560
49	184	554
50	187	547
51	190	541
52	193	536
53	196	532
54	199	525
55	203	524
56	206	518
57	210	516
58	213	510
59	216	506
60	220	502
61	223	497
62	227	494
63	230	490
64	235	489
65	238	484
66	243	483
67	246	477
68	249	474
69	253	469
70	256	465
71	260	462
72	265	461
73	268	457
74	272	454
75	279	455
76	282	451
77	285	446
78	290	444
79	293	440
80	297	437
81	302	434
82	306	431
83	309	427
84	315	427
85	318	422
86	323	420
87	329	418
88	334	417
89	338	414
90	342	409
91	348	408
92	351	404
93	358	403
94	360	398
95	363	393
96	366	388
97	369	384
98	372	380
99	375	375
100	380	372
101	382	367
102	386	364
103	389	359
104	392	355
105	396	351
106	399	347
107	404	344
108	407	340
109	410	335
110	413	331
111	416	326
112	421	324
113	424	319
114	426	315
115	429	311
116	432	306
117	437	303
118	439	299
119	442	295
120	445	290
121	447	286
122	453	283
123	455	279
124	458	275
125	461	271
126	464	266
127	470	264
128	473	260
129	476	256
130	478	252
131	483	249
132	486	245
133	489	241
134	492	237
135	495	233
136	500	230
137	503	226
138	505	221
139	508	217
140	511	213
141	516	210
142	519	206
143	521	202
144	524	198
145	527	195
146	532	192
147	536	188
148	539	184
149	542	180
150	545	177
151	549	173
152	552	169
153	555	165
154	558	162
155	562	158
156	566	155
157	568	151
158	571	147
159	574	143
160	578	140
161	582	136
162	584	132
163	587	128
164	590	125
165	594	121
166	597	118
167	600	114
168	603	110
169	606	106
170	610	103
171	614	100
172	617	96
173	619	92
174	622	88
175	627	85
176	630	81
177	633	78
178	636	74
179	638	70
180	643	67
181	646	63
182	649	60
183	652	56
184	655	53
185	660	49
186	663	46
187	666	42
188	668	38
189	672	35
190	676	31
191	679	28
192	682	24
193	685	21
194	689	17
195	692	14
196	695	10
197	698	7
198	701	3
199	705	0
